station,rule,cut_MWh,avail_MWh,n_farms,r_s
Sligo,band8,8173.368116100315,49027.7481066,3,0.16670902563848403
Sorne Hill,band8,12007.235430730907,134982.14926,5,0.08895424688788146
Tawnaghmore,band8,95.16172800000001,52816.255871999994,1,0.0018017507380800356
Trillick,band8,11066.937848500002,85093.84878860001,3,0.1300556738947579
Ardnagappary,band10,2158.949014753845,62580.924698400006,3,0.03449851572437763
Binbane,band10,3802.0194417396624,232467.07272,15,0.016355088044314504
Cathaleen's Fall,band10,29395.399423932817,159233.1576,2,0.1846060196694411
Corderry,band10,2425.348022764537,166738.26998430002,7,0.014545838954625752
Cunghill,band10,17371.48179489841,93919.32576,2,0.1849617387510769
Garvagh,band10,2726.796022856547,219480.50628,3,0.012423864283317558
Glenree,band10,289.093426578351,211565.36305600003,4,0.0013664496985824177
Lenalea,band10,4079.2899862188187,85450.34757,1,0.04773871730453886
Meentycat,band10,39054.73613951381,235244.0346048,3,0.16601796600336374
Moy,band10,0.0,16647.58668,1,0.0
Mulreavy,band10,49738.3729440205,267677.476455,4,0.18581456162368654
Sligo,band10,9127.72067978447,49027.7481066,3,0.1861745854600187
Sorne Hill,band10,9598.023445699637,134982.14926,5,0.07110587213433762
Tawnaghmore,band10,0.0,52816.255871999994,1,0.0
Trillick,band10,9157.36166770073,85093.84878860001,3,0.1076148487589333
Ardnagappary,bandinf,820.1712912123542,62580.924698400006,3,0.013105771369871167
Binbane,bandinf,1293.7829358413123,232467.07272,15,0.005565445982105333
Cathaleen's Fall,bandinf,36294.7237267781,159233.1576,2,0.22793445959259243
Corderry,bandinf,2038.7144071874627,166738.26998430002,7,0.01222703346615883
Cunghill,bandinf,21413.80651440059,93919.32576,2,0.2280021320544943
Garvagh,bandinf,2327.615468132609,219480.50628,3,0.010605112534063401
Glenree,bandinf,197.1499920181525,211565.36305600003,4,0.0009318632746418332
Lenalea,bandinf,1589.9432353867974,85450.34757,1,0.018606632747565282
Meentycat,bandinf,25212.478925925952,235244.0346048,3,0.1071758481284418
Moy,bandinf,0.0,16647.58668,1,0.0
Mulreavy,bandinf,56234.74217599741,267677.476455,4,0.2100839522276772
Sligo,bandinf,17352.831752544847,49027.7481066,3,0.3539389921563387
Sorne Hill,bandinf,3949.8677331523763,134982.14926,5,0.029262148771569917
Tawnaghmore,bandinf,0.0,52816.255871999994,1,0.0
Trillick,bandinf,5405.242216389366,85093.84878860001,3,0.0635209512008053
