rule,generator,bus,station,class,cum_cut_MWh,cum_avail_MWh,r,hours_cut
band3,40471-1,4041,Moy,P,673.6347319950127,17036.26302,0.03954122633609191,138
band3,40771-1,4071,Meentycat,P,16064.61113904352,146494.080412,0.10966047975360779,462
band3,40772-2,4071,Meentycat,P,5484.448085077135,50012.9128968,0.10966064097074515,459
band3,40773-3,4071,Meentycat,P,4251.838482637444,38769.69992,0.10966910993407153,461
band3,40971-1,4091,Mulreavy,P,23758.16524942906,216648.82652,0.10966209986480503,425
band3,40972-2,4091,Mulreavy,P,1231.3920193592912,11228.750155,0.10966421038506856,422
band3,40973-1,4091,Mulreavy,P,1043.0614752219876,9511.411896,0.10966421038506854,422
band3,43771-1,4371,Glenree,N,8843.571435728845,80449.41716000001,0.10992710386130589,443
band3,43774-2,4371,Glenree,P,10785.998733219289,98119.5570005,0.1099271038613059,443
band3,49971-1,4991,Sorne Hill,P,9493.308460272729,88920.51966,0.10676172942501591,435
band3,49973-2,4991,Sorne Hill,P,2230.174050984704,20889.264936,0.1067617294250159,435
band3,49976-3,4991,Sorne Hill,P,2772.6488201431457,25970.437487999996,0.10676172942501592,435
band3,49977-1,4991,Sorne Hill,P,180.82492305281386,1693.7241839999997,0.10676172942501592,435
band3,49979-3,4991,Sorne Hill,P,90.41246152640693,846.8620919999998,0.10676172942501592,435
band3,53673-3,5361,Trillick,P,4241.430066940264,39520.23096,0.10732300808750798,399
band3,53674-4,5361,Trillick,P,3026.563312052374,28200.5076636,0.10732300808750798,399
band3,67059-1,5241,Tawnaghmore,P,1524.417265092114,52882.883327999996,0.028826288756554578,127
band3,67059-2,5241,Tawnaghmore,P,857.4847116143142,29746.621872000003,0.028826288756554578,127
band3,68087-1,4981,Sligo,P,2250.148424114309,20487.4008165,0.10983083917126764,368
band3,68101-1,4981,Sligo,P,1764.822293422987,16068.549659999999,0.10983083917126764,368
band3,68223-1,1341,Binbane,P,89.9059324328467,1368.805905,0.06568201678882055,288
