bus,psse_name,station,in_CG3,in_NW,ws_p_nom,SF_FLG_SLIGO_N1,SF_T25221_N1,SF_T25222_N1,SF_FLG_SLIGO_N0,ratio_to_next,step_change
1381,BARNAHELY,,False,False,2.0,0.00014858405853376486,-0.0026143682871180365,-0.0025141933940730707,0.0007139028225702261,,False
3801,MIDLETON,,False,False,5.640000000000001,0.0001341108456187276,-0.002444449169758004,-0.0023507850768522513,0.0006698631915543329,,False
3531,LYSAGHTSTOWN,,False,False,87.0,0.00013321951970044627,-0.0024324777865520446,-0.0023392724017931854,0.0006669365631814441,,False
1301,BALLYBEG,,False,False,8.0,7.707109645344393e-05,0.0006140609464354695,0.0005905319394722656,-0.00014202227318641306,,False
1121,ARKLOW,,False,False,88.4,6.17957320804656e-05,0.0005153151392880695,0.0004955697808331425,-0.00011946432970278732,,False
68090,KNOCKNAMONA,,False,False,34.0,5.3523730508257816e-05,-0.001279171975841105,-0.0012301578730853947,0.0003558748439749324,,False
6931,WOODHOUSE,,False,False,20.0,5.352373050790393e-05,-0.0012791719758416357,-0.0012301578730858805,0.00035587484397477977,,False
1541,BANOGE,,False,False,4.0,4.112576952877353e-05,0.0004069770315973664,0.000391382870356647,-9.509553363953871e-05,,False
2141,DUNGARVAN,,False,False,4.99,3.736661499162755e-05,-0.0010448694033207574,-0.0010048330850868474,0.00029252156259758876,,False
5291,TULLABEG,,False,False,50.0,3.326597285663313e-05,0.0003657812385513149,0.00035176557877214173,-8.582924773335547e-05,,False
1461,BARRYMORE,,False,False,32.4,3.240411020249273e-05,-0.0013661183826208859,-0.0013137727496280328,0.0003973306967937542,,False
1991,CASTLEDOCKRE,,False,False,41.400000000000006,2.585164050912525e-05,0.0003071348937294348,0.00029536638916130044,-7.227052001134229e-05,,False
36411,CRORY,,False,False,60.162,2.585164050743563e-05,0.00030713489372605554,0.0002953663891580617,-7.227052001203271e-05,,False
1841,CRANE,,False,False,12.49,2.345208309021199e-05,0.0003143433975108228,0.00030229868430793616,-7.425918908737089e-05,,False
1231,BALLYWATER,,False,False,42.0,2.3452083088341957e-05,0.0003143433975078356,0.00030229868430506693,-7.42591890879659e-05,,False
4791,RATHNASKILLO,,False,False,95.0,8.502301873349744e-06,-0.0006262932773238774,-0.0006022955634669789,0.0001793423908918821,,False
5381,TIPPERARY,,False,False,4.6,7.63250075517044e-06,-1.7809094027628272e-05,-1.712670199509672e-05,0.00015483894445012664,,False
5501,WEXFORD,,False,False,51.830000000000005,-9.012529728937013e-07,0.0002546659472072131,0.00024490789814066855,-6.209730927645742e-05,,False
5451,ROSSPILE,,False,False,95.0,-1.6950823506264867e-05,0.00021533673805003949,0.00020708566844782755,-5.4082269888053314e-05,,False
1481,BUTLERSTOWN,,False,False,1.7,-3.1045690826840555e-05,-9.950158450624039e-06,-9.56889768353314e-06,9.362629961963409e-06,,False
5441,WATERFORD,,False,False,28.52,-3.237342168309343e-05,2.433539953176564e-05,2.3402938693212194e-05,-1.0750172012973652e-06,,False
2741,GREAT ISLAND,,False,False,4.99,-3.7792290353201585e-05,0.0001642650656287839,0.00015797091209980574,-4.367419215420276e-05,,False
2161,DOON,,False,False,8.0,-0.00014232505586429106,0.000668767507073429,0.0006431423058255448,-0.00013011378387238134,,False
2231,DERRYBRIEN,,False,False,59.5,-0.00016321570384657952,0.0063596459582371916,0.0061159630552544975,-0.001013692836320912,,False
5001,SOMERSET,,False,False,7.65,-0.00016336498650573392,0.01124982578989479,0.010818765598095633,-0.0018435956702662747,,False
1901,CARLOW,,False,False,34.74,-0.0004226564621482923,0.002935003763350867,0.002822543063177408,-0.000881361021534641,,False
2391,KILL HILL,,False,False,36.0,-0.0005450500881690225,0.0033965141065495866,0.003266369689243556,-0.000891994587746402,,False
5301,THURLES,,False,False,41.8,-0.0009587907811320559,0.006200448889436213,0.005962865949269702,-0.0017008591019629024,,False
36210,LISHEEN,,False,False,59.0,-0.0009587907811385854,0.006200448889431713,0.005962865949265353,-0.0017008591019666564,,False
3621,LISHEEN,,False,False,68.4,-0.0009587907811386097,0.006200448889431758,0.005962865949265407,-0.0017008591019666876,,False
3101,IKERRIN,,False,False,35.95,-0.0014588773577972267,0.009589552670524332,0.009222109254899188,-0.002678530123466914,,False
4481,PORTLAOISE,,False,False,9.2,-0.0015144507951003784,0.009665141784534675,0.009294802016682467,-0.0029130296558734416,,False
4391,PHILIPSTOWN,,False,False,70.0,-0.0018645911051343028,0.011090267654873457,0.010665321260885112,-0.0034896820233209155,,False
1671,KILCUMBER,,False,False,100.0,-0.0018760335989265187,0.011136840395734036,0.010710109471479799,-0.00350852687193042,,False
5211,TIMAHOE,,False,False,70.0,-0.0019205543882306365,0.011039597561473057,0.010616592696232496,-0.0035771748915445836,,False
1331,BLUNDELSTOWN,,False,False,60.0,-0.00206431967072649,0.014524973889597089,0.013968419668432853,-0.004392005325949961,,False
