Area,Subgroup,Node,Year,Generation Scenario,Grandfathering / Pro-rata,Generation Type,Installed (MW),Available Energy (GWh),Generation (GWh),Surplus (GWh),Curtailment (GWh),Constraint (GWh),Total Dispatch Down (GWh)
J,J Country,portlaoise,2035,66% ECP Maintenance Sensitivity,Pro-rata,IE wind not priority,45.001,138.78226662511,87.4227886567709,25.67612799894,0.486839136679989,25.196510832719,51.359477968339
H2,H2 & K,carlow,2035,66% ECP + 4.7 GW Offshore,Pro-rata,IE wind priority,30.49,86.24783645923,79.9937980897827,0,1.58607069656,4.66796767288722,6.25403836944722
J,"J City, G South",belcamp 220kv,2035,66% ECP + 4.7 GW Offshore,Pro-rata,IE wind not priority,250,1047.37975,724.176314997473,293.73216721213,6.24416480301999,23.2271029873766,323.203435002526
H2,H2 & K,carlow,2030,33% ECP Maintenance Sensitivity,Pro-rata,IE Solar not priority,31.09663557,36.40825189167,30.5180768626116,5.04479088352999,0.676777588379998,0.168606557148379,5.89017502905837
H2,H2 & K,carlow,2030,33% ECP Maintenance Sensitivity,Pro-rata,IE wind not priority,6.999993,19.80105777225,16.1155522488901,3.23461833868,0.3546673337,0.0962198509798639,3.68550552335986
J,"J City, G South",stephenstown,2030,100% ECP,Pro-rata,IE Solar not priority,9.99,12.80005713,7.96734640349522,4.03936403282,0.28200966378999,0.511337029894781,4.83271072650477
I,"E,F & I",trabeg,2035,66% ECP + 4.7 GW Offshore,Pro-rata,IE Solar not priority,4.95,5.7955095,4.03232912415401,1.30034604831999,0.0498817182699999,0.412952609255989,1.76318037584598
H2,H2 & K,banoge,2030,Initial,Pro-rata,IE Solar not priority,8,9.36647999999999,7.81064722821335,0.774659906539989,0.12068769292,0.66048517232665,1.55583277178664
H2,H2 & K,carlow,2035,100% ECP,Pro-rata,IE wind priority,30.49,86.24783645923,80.7829627505595,0,0.8232504075701,4.64162330110039,5.46487370867049
J,J Country,athy,2030,33% ECP + 2.6 GW Offshore,Pro-rata,IE Solar not priority,4.99,6.39362213,4.1190816066952,1.23900020125999,0.118315351669999,0.917224970374797,2.27454052330479
J,J Country,thornsberry,2035,66% ECP,Pro-rata,IE Solar not priority,164.466508,210.72879863583,97.641150777603,32.2795920414899,1.51932360470001,79.288732212037,113.087647858227
J,J Country,thornsberry,2035,100% ECP,Pro-rata,IE Solar not priority,243.8,312.3777706,114.551041238007,68.68523051672,2.83091163084,126.310587214432,197.826729361992
J,J Country,thornsberry,2035,66% ECP Maintenance Sensitivity,Pro-rata,IE Solar not priority,164.466508,210.72879863583,103.806634288961,32.2795920414899,1.51932360470001,73.1232487006789,106.922164346869
H2,H2 & K,carlow,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Pro-rata,IE wind not priority,6.999993,19.80105777225,12.0064950635079,6.42000865343,0.38102102472,0.99353303059209,7.79456270874209
J,"J City, G South",arodstown,2030,33% ECP,Pro-rata,IE Solar not priority,155.1998448,198.85554354429,167.002549046173,27.0217908262099,3.68261377159001,1.14858990031632,31.8529944981163
H2,H2 & K,carlow,2030,33% ECP Maintenance Sensitivity,Pro-rata,IE wind priority,30.49,86.24783645923,83.0922432714784,0,2.73648658915999,0.419106598591568,3.15559318775156
J,J Country,portlaoise,2035,66% ECP,Pro-rata,IE wind not priority,45.001,138.78226662511,85.8354320269302,25.67612799894,0.486839136679989,26.7838674625597,52.9468345981797
J,J Country,portlaoise,2035,66% ECP,Pro-rata,IE Solar not priority,2.666664,3.41676191662,1.58315601684796,0.523382098229999,0.0246343501099999,1.28558945143204,1.83360589977204
H2,H2 & K,carlow,2035,100% ECP,Pro-rata,IE Solar not priority,93.29,109.2248649,79.9876392159623,24.59703927403,0.985760134220001,3.65442627578769,29.2372256840376
H2,H2 & K,carlow,2030,33% ECP + 2.6 GW Offshore,Pro-rata,IE Solar not priority,31.09663557,36.40825189167,27.3191844520015,7.12562054987,0.688379178969999,1.27506771082841,9.08906743966841
H2,H2 & K,ballywater,2035,66% ECP + 4.7 GW Offshore,Pro-rata,IE wind priority,42,118.80646544065,110.191522458873,0,2.18481368492,6.43012929685609,8.61494298177609
J,J Country,philipstown,2035,100% ECP,Pro-rata,IE Solar not priority,50,64.06435,23.4928304425595,14.08638853911,0.580580728249998,25.9045502900804,40.5715195574404
J,"J City, G South",stephenstown,2030,33% ECP Maintenance Sensitivity,Pro-rata,IE Solar not priority,3.32999667,4.26668144332,3.58526216469341,0.57978455839,0.07901484443,0.0226198758065816,0.681419278626582
H2,H2 & K,carlow,2030,33% ECP + 2.6 GW Offshore,Pro-rata,IE wind priority,30.49,86.24783645923,79.3100274872983,0,3.53687401133009,3.40093496060158,6.93780897193168
H2,H2 & K,ballywater,2035,66% ECP,Pro-rata,IE wind priority,42,118.80646544065,113.011461644285,0,1.03478483726,4.76021895910496,5.79500379636496
J,J Country,athy,2030,33% ECP + 1.3 GW Offshore,Pro-rata,IE Solar not priority,4.99,6.39362213,4.20291441066427,1.05973712959,0.119295281959999,1.01167530778572,2.19070771933572
J,"J City, G South",stephenstown,2030,33% ECP + 2.6 GW Offshore,Pro-rata,IE Solar not priority,3.32999667,4.26668144332,3.34612074415731,0.82682696285,0.0789558570600004,0.0147778792526827,0.920560699162683
H2,H2 & K,ballywater,2035,66% ECP Maintenance Sensitivity,Pro-rata,IE wind priority,42,118.80646544065,114.644748118848,0,1.03478483726,3.12693248454179,4.1617173218018
J,J Country,athy,2035,100% ECP,Pro-rata,IE Solar not priority,4.99,6.39362213,2.34458447810997,1.40582157620001,0.0579419567399899,2.58527411895002,4.04903765189002
J,J Country,athy,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Pro-rata,IE Solar not priority,4.99,6.39362213,3.43490949981691,1.44125468289999,0.13389579809,1.38356214919308,2.95871263018308
H2,H2 & K,carlow,2035,66% ECP + 4.7 GW Offshore,Pro-rata,IE Solar not priority,62.19327114,72.81650378344,53.3429486155715,16.3379342140899,0.626728733539998,2.50889222023848,19.4735551678684
I,"E,F & I",trabeg,2030,33% ECP,Pro-rata,IE Solar not priority,4.95,5.7955095,4.5652934193491,0.803035904569999,0.107730273659999,0.319449902420895,1.23021608065089
I,"E,F & I",trabeg,2030,Initial,Pro-rata,IE Solar not priority,4.95,5.7955095,4.36475893274128,0.479320817169999,0.0746755100199996,0.876754240068714,1.43075056725871
J,"J City, G South",arodstown,2030,33% ECP + 1.3 GW Offshore,Pro-rata,IE Solar not priority,155.1998448,198.85554354429,161.814186234355,32.9601278665699,3.71034253352999,0.370886909834126,37.0413573099341
H2,H2 & K,ballywater,2035,100% ECP,Pro-rata,IE wind priority,42,118.80646544065,111.278597426061,0,1.13402811147,6.39383990311893,7.52786801458893
J,J Country,portlaoise,2030,100% ECP Maintenance Sensitivity,Pro-rata,IE Solar not priority,4,5.125148,2.26149995528344,1.61736297607,0.112916782379999,1.13336828626655,2.86364804471655
J,J Country,athy,2030,100% ECP Maintenance Sensitivity,Pro-rata,IE Solar not priority,4.99,6.39362213,2.82122119422246,2.01766031269999,0.14086368596,1.41387693711753,3.57240093577753
J,"J City, G South",arodstown,2030,33% ECP + 2.6 GW Offshore,Pro-rata,IE Solar not priority,155.1998448,198.85554354429,155.951333182091,38.5355989858199,3.67986457157002,0.688746804808886,42.9042103621988
J,"J City, G South",stephenstown,2035,66% ECP Maintenance Sensitivity,Pro-rata,IE Solar not priority,6.65999334,8.53336288657,7.16283387626519,1.30714679012,0.0615242897700003,0.0018579304148031,1.3705290103048
H2,H2 & K,banoge,2035,66% ECP,Pro-rata,IE Solar not priority,8,9.36647999999999,7.44769686098966,1.48702564427998,0.06874501349,0.363012481240347,1.91878313901032
J,J Country,portlaoise,2030,33% ECP + 2.6 GW Offshore,Pro-rata,IE Solar not priority,1.333332,1.70838095825,1.10062190717025,0.331061846969999,0.03161395678,0.245083247329745,0.607759051079745
H2,H2 & K,carlow,2030,33% ECP,Pro-rata,IE wind not priority,6.999993,19.80105777225,15.7000829012026,3.23461833868,0.3546673337,0.511689198667379,4.10097487104738
J,J Country,thornsberry,2030,33% ECP,Pro-rata,IE Solar not priority,85.133254,109.08013161795,72.3117710510306,14.8225211494701,2.0200593241198,19.9257800933294,36.7683605669193
J,J Country,athy,2030,100% ECP,Pro-rata,IE Solar not priority,4.99,6.39362213,2.69316509888904,2.01766031269999,0.14086368596,1.54193303245095,3.70045703111095
H2,H2 & K,carlow,2035,66% ECP,Pro-rata,IE wind not priority,13.999986,39.60211554486,31.4583610149693,6.42685517903999,0.130161284549998,1.58673806630061,8.1437545298906
J,J Country,portlaoise,2035,100% ECP,Pro-rata,IE wind not priority,45.001,138.78226662511,76.2806568460858,28.14816208984,0.522865832839997,33.8305818563442,62.5016097790242
J,"J City, G South",arodstown,2035,66% ECP,Pro-rata,IE Solar not priority,310.3996896,397.71108708848,333.340703339228,60.92167622423,2.86743836813997,0.581269156881376,64.3703837492513
H2,H2 & K,carlow,2030,100% ECP Maintenance Sensitivity,Pro-rata,IE wind not priority,21,59.40323272045,41.7324729190327,16.33393903471,1.08561070644999,0.251210060257228,17.6707598014172
J,J Country,portlaoise,2030,33% ECP + 2.6 GW Offshore,Pro-rata,IE wind not priority,45.001,138.78226662511,86.4302314674934,45.11679241904,2.60389274758999,4.63134999098657,52.3520351576165
