name,area,node,gen_type,system_operator,connection_status,processing,mec_mw,controllability,priority,battery_mwh
Woodstock North Solar Farm,J,Athy,solar,DSO,due to connected,Non GPA,4.99,Y,solar not priority,N/A
Inchicore BESS,J,Inchicore,battery,DSO,connected,T-4 2022/23,30,N,battery,60
Poolbeg BESS,J,Poolbeg,battery,TSO,connected,T-4 2022/23,75,N,battery,150
South Wall BESS,J,Irishtown,battery,TSO,connected,T-4 2022/23,30,N,battery,60
Cushaling ESPS,J,Cushaling,battery,TSO,connected,T-3 2024/25,20,N,battery,40
Shannonbridge B ESS,C,Shannonbridge,battery,TSO,connected,T-3 2024/25,63.2,N,battery,158
Brianstown BESS,C,Richmond,battery,DSO,due to connected,T-4 2026/27,5.45,N,battery,*
Kish (Crag Wicklow),H2,Oaklands,battery,TSO,due to connected,T-4 2026/27,114,N,battery,*
Knockraha BESS,I,Knockraha,Battery,TSO,due to connected,T-4 2028/29,100,N,battery,*
Arklow Bank Phase 2 A,H2,Arklow 220kV,offshore wind,TSO,due to connected,Offshore wind,400,Y,wind not priority,N/A
Arklow Bank Phase 2 B,H2,Arklow 220kV,offshore wind,TSO,due to connected,Offshore wind,400,Y,wind not priority,N/A
Bray Bank (Dublin Array),J,Carrickmines 220kV,offshore wind,TSO,due to connected,Offshore wind,412,Y,wind not priority,N/A
Codling Offshore Wind A,J,Poolbeg north 220kV,offshore wind,TSO,due to connected,Offshore wind,400,Y,wind not priority,N/A
Codling Offshore Wind B,J,Poolbeg south 220kV,offshore wind,TSO,due to connected,Offshore wind,450,Y,wind not priority,N/A
Codling Offshore Wind C,J,Poolbeg south 220kV,offshore wind,TSO,due to connected,Offshore wind,450,Y,wind not priority,N/A
Great Island OWF,H2,Great Island 220kV,offshore wind,TSO,due to connected,Offshore wind,450,Y,wind not priority,N/A
Kish Bank (Dublin Array),J,Carrickmines 220kV,offshore wind,TSO,due to connected,Offshore wind,412,Y,wind not priority,N/A
Knockraha,I,Knockraha 220kV,offshore wind,TSO,due to connected,Offshore wind,450,Y,wind not priority,N/A
North Irish Sea Array A,J,Belcamp 220kV,offshore wind,TSO,due to connected,Offshore wind,250,Y,wind not priority,N/A
North Irish Sea Array B,J,Belcamp 220kV,offshore wind,TSO,due to connected,Offshore wind,250,Y,wind not priority,N/A
Oriel offshore new A,G,Oriel 220kV,offshore wind,TSO,due to connected,Offshore wind,165,Y,wind not priority,N/A
Avonbeg ESS,H2,Crane,battery,DSO,connected,ECP-1,16,N,battery,8
Ballyedock,H2,Great Island,solar,DSO,due to connected,ECP-1,12,Y,solar not priority,N/A
Ballymacadam (Monraha) Solar PV Farm,H1,Cahir,solar,DSO,connected,ECP-1,21,Y,solar not priority,N/A
Ballynacrusha,I,Cow Cross,solar,DSO,due to connected,ECP-1,4.95,Y,solar not priority,N/A
Bilboa (1),H2,Carlow,wind,DSO,due to connected,ECP-1,15,Y,wind not priority,N/A
Black Lough (1),B,Glenree,wind,DSO,connected,ECP-1,12.5,Y,wind not priority,N/A
Blackwater Bog Solar 1,C,Shannonbridge,solar,TSO,due to connected,ECP-1,65,Y,solar not priority,N/A
Callatrim South Solar Farm (prev. Kilcawha),F,Bandon,solar,DSO,due to connected,ECP-1,5.95,Y,solar not priority,N/A
Carrigdangan Wind Farm - Phase 2,F,Dunmanway,wind,TSO,due to connected,ECP-1,7.95,Y,wind not priority,N/A
Carrowbeg Battery Storage (Prev MCB),B,Dalton,battery,DSO,due to connected,ECP-1,12,N,battery,*
Cleggill Solar Park,C,Richmond,solar,DSO,due to connected,ECP-1,8,Y,solar not priority,N/A
